г. Санкт-Петербург, пр-кт. Пятилеток, д. 2 2003
г. Санкт-Петербург, пр-кт. Искровский, д. 40 2004
г. Санкт-Петербург, пр-кт. Солидарности, д. 21, к. 3 2008
г. Санкт-Петербург, ул. Дыбенко, д. 11, к. 3 2013
г. Санкт-Петербург, пр-кт. Большевиков, д. 47, к. 1 2010
г. Санкт-Петербург, ул. Крыленко, д. 43, к. 2 2008
г. Санкт-Петербург, ул. Крыленко, д. 13, к. 4 2008
г. Санкт-Петербург, пр-кт. Пятилеток, д. 5, к. 2 2008
г. Санкт-Петербург, пр-кт. Искровский, д. 29, к. 2 2006
г. Санкт-Петербург, ул. Подвойского, д. 26, к. 3 2011
г. Санкт-Петербург, ул. Латышских Стрелков, д. 1 2008
г. Санкт-Петербург, пр-кт. Российский, д. 8 2009
г. Санкт-Петербург, пер. Клочков, д. 10, к. 2 2006
г. Санкт-Петербург, ул. Коллонтай, д. 15, к. 1 2006
г. Санкт-Петербург, ул. Коллонтай, д. 15, к. 2 2005
г. Санкт-Петербург, ул. Коллонтай, д. 17, к. 2 2006
г. Санкт-Петербург, ул. Коллонтай, д. 17, к. 3 2006
г. Санкт-Петербург, ул. Коллонтай, д. 17, к. 4 2005
г. Санкт-Петербург, ул. Коллонтай, д. 6, к. 1 2013
г. Санкт-Петербург, ул. Народная, д. 53, к. 3 2011
г. Санкт-Петербург, пр-кт. Солидарности, д. 14, к. 1 2005
г. Санкт-Петербург, ул. Бадаева, д. 6, к. 1 2009
г. Санкт-Петербург, ул. Бадаева, д. 8, к. 1 2008
г. Санкт-Петербург, ул. Бадаева, д. 8, к. 2 2008
г. Санкт-Петербург, ул. Бадаева, д. 8, к. 3 2009
г. Санкт-Петербург, ул. Бадаева, д. 14, к. 1 2011
г. Санкт-Петербург, ул. Бадаева, д. 14, к. 2 2010
г. Санкт-Петербург, ул. Бадаева, д. 14, к. 4 2010
г. Санкт-Петербург, ул. Подвойского, д. 13, к. 2 2008
г. Санкт-Петербург, пр-кт. Большевиков, д. 7, к. 3, стр. а 2013
г. Санкт-Петербург, ул. Бадаева, д. 5, к. 2 2008
г. Санкт-Петербург, ул. Белышева, д. 5/6 2014
г. Санкт-Петербург, ул. Коллонтай, д. 5/1 2013
г. Санкт-Петербург, пр-кт. Большевиков, д. 11, к. 2, стр. а 2012
г. Санкт-Петербург, ул. Латышских Стрелков, д. 15, к. 1 2008
г. Санкт-Петербург, ул. Латышских Стрелков, д. 15, к. 3 2010
г. Санкт-Петербург, ул. Латышских Стрелков, д. 17, к. 1 2010
г. Санкт-Петербург, пр-кт. Искровский, д. 23, к. 1 2004
г. Санкт-Петербург, пр-кт. Искровский, д. 32, к. 1 2004
г. Санкт-Петербург, ул. Латышских Стрелков, д. 3 литера А 2008
г. Санкт-Петербург, ул. Антонова-Овсеенко, д. 5, к. 1 2007
г. Санкт-Петербург, ул. Дыбенко, д. 13, к. 5, лит. А 2012
г. Санкт-Петербург, ул. Подвойского, д. 8, лит. А 2016
г. Санкт-Петербург, ул. Крыленко, д. 1, корп. 1 2016
